schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	HDFC Bank Ltd	Financial Services	2,891.38	5.69	3.17	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	ICICI Bank Ltd	Financial Services	2,219.11	4.37	11.81	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Axis Bank Ltd	Financial Services	1,956.88	3.85	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	GE Vernova T&D India Ltd	Industrials	1,544.85	3.04	-2.03	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Infosys Ltd	Technology	1,292.26	2.54	11.19	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Max Financial Services Ltd	Financial Services	1,260.88	2.48	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	NTPC Ltd	Utilities	1,136.63	2.24	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Reliance Industries Ltd	Energy	1,124.73	2.21	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Linde India Ltd	Basic Materials	1,026.01	2.02	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Larsen & Toubro Ltd	Industrials	981.64	1.93	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	State Bank of India	Financial Services	961.36	1.89	-11.11	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	ITC Ltd	Consumer Defensive	878.51	1.73	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Samvardhana Motherson International Ltd	Consumer Cyclical	872.06	1.72	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Bajaj Finance Ltd	Financial Services	834.76	1.64	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	FSN E-Commerce Ventures Ltd	Consumer Cyclical	796.78	1.57	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Vesuvius India Ltd	Industrials	754.54	1.48	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Feb25	5.59
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Mar25	15.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Apr25	12.51
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	May25	11.15
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	June25	10.18
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	July25	9.19
Nippon India Multi Cap Dir Gr	INF204K01XF9	Tata Power Co Ltd	Utilities	742.49	1.46	0.00	Aug25	8.13
Nippon India Multi Cap Dir Gr	INF204K01XF9	Swiggy Ltd	Consumer Cyclical	673.01	1.32	14.85	Oct24	5.55
Nippon India Multi Cap Dir Gr	INF204K01XF9	Swiggy Ltd	Consumer Cyclical	673.01	1.32	14.85	Nov24	7.52
Nippon India Multi Cap Dir Gr	INF204K01XF9	Swiggy Ltd	Consumer Cyclical	673.01	1.32	14.85	Dec24	3.56
Nippon India Multi Cap Dir Gr	INF204K01XF9	Swiggy Ltd	Consumer Cyclical	673.01	1.32	14.85	Jan25	5.32
Nippon India Multi Cap Dir Gr	INF204K01XF9	Swiggy Ltd	Consumer Cyclical	673.01	1.32	14.85	Feb25	5.59
